"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1969-02","1969","02","5.6","","0.5","","3.1","","10.0","","-2.8","","102.9","","35.3","","138.2","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1969-03","1969","03","9.1","","2.9","","6.0","","17.2","","0.0","S","181.6","","0.0","T","181.6","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1969-04","1969","04","10.3","","4.5","","7.4","","18.3","","0.0","","205.2","","0.0","T","205.2","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1969-05","1969","05","18.2","","9.3","","13.8","","30.0","","3.9","","54.4","","0.0","","54.4","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1969-06","1969","06","21.6","","13.3","","17.5","","30.6","","7.8","","67.1","","0.0","","67.1","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1969-07","1969","07","20.8","","12.2","","16.5","","26.1","","8.9","","37.3","","0.0","","37.3","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1969-08","1969","08","18.4","","11.2","","14.8","","24.4","","8.9","S","77.7","","0.0","","77.7","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1969-09","1969","09","16.9","","11.1","","14.0","","25.0","","7.8","S","260.9","E","0.0","","260.9","E","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1969-10","1969","10","13.2","","7.1","","10.2","","20.6","","3.3","","177.5","","0.0","","177.5","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1969-11","1969","11","9.3","","4.8","","7.1","","16.7","","0.6","S","157.2","","0.0","","157.2","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1969-12","1969","12","6.9","","3.1","","5.0","","16.1","","0.0","S","203.7","","0.0","","203.7","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1970-01","1970","01","5.0","","0.8","","2.9","","11.1","","-3.9","","188.5","","9.4","","197.9","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1970-02","1970","02","9.8","","4.3","","7.1","","15.0","","0.6","S","111.0","","0.8","","111.8","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1970-03","1970","03","9.4","","2.9","","6.2","","14.4","","-2.2","","102.1","","0.0","","102.1","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1970-04","1970","04","9.9","","3.3","","6.6","","15.0","S","0.0","S","208.0","","1.3","","209.3","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1970-05","1970","05","14.7","","7.1","","10.9","","22.2","","2.8","S","43.4","","0.0","","43.4","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1970-06","1970","06","20.6","","11.9","","16.3","","31.1","","5.6","","49.5","","0.0","","49.5","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1970-07","1970","07","21.6","","12.1","","16.9","","30.0","","8.9","","72.1","","0.0","","72.1","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1970-08","1970","08","21.4","","12.4","","16.9","","27.2","","8.3","","20.6","","0.0","","20.6","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1970-09","1970","09","16.4","","9.4","","12.9","","24.4","","4.4","","134.9","","0.0","","134.9","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1970-10","1970","10","12.5","","6.5","","9.5","","23.9","","0.0","","143.0","","0.0","","143.0","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1970-11","1970","11","8.3","","3.3","","5.8","","16.7","S","-6.7","S","174.0","E","15.7","","189.7","E","","M","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1970-12","1970","12","3.6","","-0.2","","1.7","","7.8","","-5.6","","244.1","","26.9","","271.0","","","M","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1971-01","1971","01","3.2","","-1.2","","1.0","","11.1","","-10.0","","319.5","","105.4","","424.9","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1971-02","1971","02","5.2","","1.4","","3.3","","10.6","","-5.0","","231.9","","53.1","","285.2","","","M","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1971-03","1971","03","5.8","","0.1","","3.0","","10.6","","-3.9","","227.3","","26.2","","253.5","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1971-04","1971","04","11.3","","4.2","","7.8","","21.7","","0.0","S","73.4","","2.0","","75.4","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1971-05","1971","05","16.2","","7.4","","11.8","","27.8","","2.8","S","42.4","","0.0","","42.4","","0","","","","",""
"-122.92","49.28","BURNABY SIMON FRASER U","1101158","1971-06","1971","06","14.6","","8.9","","11.8","","25.0","","6.7","S","145.3","","0.0","","145.3","","0","","","","",""
